batch loss cost time
200 0.645605 124.19 203
400 0.621490 121.03 201
600 0.610648 119.73 206
800 0.594514 121.42 217
1000 0.598830 115.82 239
1200 0.583604 105.03 320
1400 0.572318 110.69 367
1600 0.568566 111.19 402
1800 0.548923 112.03 404
2000 0.543164 116.25 395
2200 0.531677 109.12 398
2400 0.539265 111.63 404
2600 0.536253 113.43 393
2800 0.522342 109.13 364
3000 0.517969 117.80 387
3200 0.527241 112.71 379
3400 0.524449 110.22 368
3600 0.513952 108.63 393
3800 0.511382 112.07 417
4000 0.511091 104.88 377
4200 0.513327 112.72 376
4400 0.501178 108.63 371
4600 0.490925 99.87 352
4800 0.498559 99.19 356
5000 0.497487 110.50 388
5200 0.495239 104.49 347
5400 0.507786 104.03 361
5600 0.481774 98.46 357
5800 0.502025 107.08 358
6000 0.488026 108.75 383
6200 0.494159 104.81 356
6400 0.486158 97.68 325
6600 0.500370 109.01 357
6800 0.477631 106.18 371
7000 0.472161 103.31 355
7200 0.493987 105.34 363
7400 0.487431 109.39 388
7600 0.485719 111.00 419
7800 0.479392 112.65 392
8000 0.462946 95.37 356
8200 0.448668 94.88 364
8400 0.463272 96.72 354
8600 0.475417 100.56 350
8800 0.469365 104.27 381
9000 0.452394 99.65 366
9200 0.449435 93.39 344
9400 0.455817 118.90 418
9600 0.445242 98.23 380
9800 0.437117 95.09 357
10000 0.432778 104.09 405
10200 0.418118 105.22 375
10400 0.421497 99.84 382
10600 0.379756 87.50 363
10800 0.388848 83.44 337
11000 0.399133 91.54 355
11200 0.369186 82.32 337
11400 0.364110 87.71 340
11600 0.361933 81.20 327
11800 0.348376 81.00 333
12000 0.331257 76.78 323
12200 0.332047 84.65 365
12400 0.335348 78.93 347
12600 0.310363 74.27 332
12800 0.327274 82.84 377
13000 0.300456 77.32 334
13200 0.285447 75.13 355
13400 0.284774 69.18 347
13600 0.294467 79.42 367
13800 0.305155 83.17 377
14000 0.262230 67.85 343
14200 0.294821 80.42 359
14400 0.268446 71.34 361
14600 0.274995 65.78 329
14800 0.143510 29.70 364
15000 0.104314 17.68 354
15200 0.073835 11.31 317
