batch loss cost time
15400 0.062888 12.28 345
15600 0.070040 11.34 345
15800 0.043218 7.92 348
16000 0.057545 7.16 301
16200 0.049964 6.68 324
16400 0.095693 11.34 324
16600 0.054636 9.37 371
16800 0.054461 5.60 321
17000 0.050426 7.91 366
17200 0.049381 6.80 345
17400 0.043794 6.47 341
17600 0.030369 4.83 323
17800 0.041426 5.16 309
18000 0.037589 5.87 346
18200 0.030498 4.33 334
18400 0.028060 4.28 343
18600 0.028570 3.74 313
18800 0.026665 3.73 328
19000 0.029858 4.38 334
19200 0.023583 3.30 319
19400 0.020909 3.35 318
19600 0.022478 3.41 347
19800 0.031624 3.65 355
20000 0.050671 6.21 357
20200 0.029309 4.54 329
20400 0.018207 2.39 365
20600 0.018532 2.77 361
20800 0.022281 2.89 332
21000 0.016109 2.52 319
21200 0.022302 3.20 366
21400 0.021298 2.65 339
21600 0.021420 3.04 340
21800 0.035617 3.21 307
22000 0.049707 2.93 367
22200 0.012138 1.90 318
22400 0.020923 2.34 333
22600 0.011419 1.88 344
22800 0.029188 2.79 341
23000 0.014273 2.06 343
23200 0.279292 53.47 334
23400 0.110621 30.48 339
23600 0.012095 1.90 352
23800 0.015280 2.10 398
24000 0.022515 2.35 348
24200 0.015876 1.60 328
24400 0.012623 1.46 296
24600 0.050777 6.32 335
24800 0.015293 2.08 356
25000 0.009526 1.33 363
25200 0.025442 3.13 341
25400 0.012258 1.37 344
25600 0.016775 2.13 368
25800 0.014005 1.62 342
26000 0.019572 1.93 296
26200 0.020747 2.14 374
26400 0.023411 3.11 352
26600 0.014448 1.68 345
26800 0.008812 1.40 367
27000 0.009863 1.55 342
27200 0.015845 1.60 337
27400 0.007138 1.06 345
27600 0.014788 1.51 342
27800 0.006973 1.10 341
28000 0.009001 1.14 348
28200 0.007944 1.15 370
28400 0.008387 1.07 339
28600 0.010812 1.16 320
28800 0.009144 0.98 354
29000 0.033527 2.81 354
29200 0.010029 1.19 355
29400 0.013347 1.19 329
29600 0.006338 0.87 335
29800 0.022372 1.04 373
30000 0.008284 1.16 361
30200 0.007114 1.17 317
30400 0.010267 1.02 351
30600 0.004947 0.96 334
30800 0.015849 1.03 332
31000 0.017647 1.46 345
31200 0.007090 0.81 335
31400 0.008896 0.94 293
31600 0.020243 2.07 318
31800 0.007591 1.00 332
32000 0.007113 1.00 314
32200 0.009266 0.69 315
32400 0.006845 0.80 308
32600 0.005016 0.73 320
32800 0.005492 0.80 336
33000 0.005631 0.60 343
33200 0.005834 0.60 310
33400 0.009577 0.90 329
33600 0.004330 0.65 333
33800 0.009353 0.76 305
34000 0.005875 0.66 304
34200 0.002283 0.41 319
34400 0.005230 0.64 268
34600 0.010132 1.10 173
34800 0.001764 0.41 189
35000 0.004339 0.47 191
35200 0.006516 0.60 182
35400 0.025141 1.54 182
35600 0.003955 0.51 175
35800 0.005227 0.55 165
36000 0.006940 0.66 178
36200 0.004467 0.62 174
36400 0.007711 0.65 163
36600 0.024307 2.38 180
36800 0.004288 0.51 176
37000 0.007132 0.71 179
37200 0.009903 0.39 173
37400 0.002902 0.48 169
37600 0.003576 0.47 188
37800 0.006064 0.59 162
38000 0.006848 0.50 167
38200 0.002262 0.33 176
38400 0.011995 0.73 190
38600 0.018853 0.55 177
38800 0.004571 0.49 173
39000 0.003843 0.40 169
39200 0.005117 0.37 184
39400 0.002478 0.25 185
39600 0.006699 0.40 181
39800 0.004923 0.47 183
40000 0.005397 0.43 186
40200 0.004361 0.53 169
40400 0.002856 0.26 173
40600 0.005238 0.48 180
40800 0.005469 0.43 194
41000 0.008672 0.57 162
41200 0.002956 0.52 162
41400 0.002692 0.46 181
41600 0.007304 0.57 164
41800 0.002660 0.29 167
42000 0.004451 0.38 186
42200 0.000445 0.09 171
42400 0.003525 0.38 179
42600 0.001919 0.25 180
42800 0.005346 0.46 180
43000 0.001317 0.22 180
43200 0.005013 0.53 173
43400 0.000765 0.16 176
43600 0.002116 0.30 178
43800 0.006416 0.30 181
44000 0.001816 0.23 179
44200 0.001016 0.16 174
44400 0.003864 0.40 169
44600 0.000725 0.15 178
44800 0.004479 0.26 164
45000 0.003741 0.41 191
45200 0.006925 0.48 164
45400 0.001746 0.17 167
45600 0.003054 0.29 182
45800 0.011907 0.40 187
46000 0.002363 0.30 172
46200 0.000748 0.17 180
46400 0.002922 0.23 165
46600 0.002714 0.31 172
46800 0.003891 0.24 166
47000 0.002353 0.29 175
47200 0.002198 0.23 173
47400 0.002531 0.13 191
47600 0.002642 0.16 181
47800 0.021288 0.52 189
48000 0.003137 0.26 184
48200 0.000664 0.07 171
48400 0.004198 0.33 158
48600 0.003553 0.28 171
48800 0.005160 0.12 163
49000 0.001581 0.15 174
49200 0.003874 0.27 180
49400 0.003868 0.17 171
49600 0.000322 0.07 195
49800 0.002236 0.09 172
50000 0.017694 1.15 165
