batch loss cost time
45800 0.013156 2.23 214
46000 0.011536 1.95 179
46200 0.010834 1.96 223
46400 0.010215 1.61 170
46600 0.010442 1.56 182
46800 0.008954 1.65 170
47000 0.007241 1.35 210
47200 0.007272 1.30 180
47400 0.010723 1.72 219
47600 0.009080 1.38 192
47800 0.009563 1.38 196
48000 0.007928 1.12 223
48200 0.005425 1.10 193
48400 0.010828 1.53 161
48600 0.009376 1.32 210
48800 0.005587 0.99 163
49000 0.008329 1.16 181
49200 0.009141 1.38 174
49400 0.007133 0.98 173
49600 0.004428 0.90 206
49800 0.004341 0.84 167
50000 0.013497 1.23 159
